序1 :B05937:魖:魖:無相關對應:一對未知
序41 :B06006:鰿:鰿:無相關對應:一對未知
序42 :B05996:鱀:鱀:無相關對應:一對未知
序43 :B06010:鱁:鱁:無相關對應:一對未知
序44 :B06007:鱄:鱄:無相關對應:一對未知
序45 :B06004:鱆:鱆:無相關對應:一對未知
序46 :B06018:鱊:鱊:無相關對應:一對未知
序47 :B06020:鱋:鱋:無相關對應:一對未知
序48 :B06019:鱍:鱍:無相關對應:一對未知
序49 :B06017:鱐:鱐:無相關對應:一對未知
序50 :B06021:鱕:鱕:無相關對應:一對未知
序51 :B06026:鱞:鱞:無相關對應:一對未知
序52 :B06025:鱢:鱢:無相關對應:一對未知
序53 :B06024:鱦:鱦:無相關對應:一對未知
序54 :B06030:鱮:鱮:無相關對應:一對未知
序55 :B06032:鱳:鱳:無相關對應:一對未知
序56 :B06031:鱴:鱴:無相關對應:一對未知
序57 :B06033:鱹:鱹:無相關對應:一對未知
序58 :A04691:魚:鱼:魚:一簡對一:G1-01194:魚:鱼:無異體
序60 ::::::G3-07034:魛:鱽:無異體
序61 ::::::G3-07214:魢:鱾:無異體
序62 :A04692:魷:鱿:魷:一簡對一:G2-05235:魷:鱿:無異體
序64 ::::::G2-05236:魨:鲀:無異體
序65 :A04693:魯:鲁:魯:一簡對一:G1-02717:魯:鲁:無異體
序67 :B05941:魴:鲂:魴:一對未知:G2-05237:魴:鲂:無異體
序69 ::::::G3-07406:䰾:鲃:無異體
序70 ::::::G2-05525:鮁:鲅:無異體
序71 ::::::G2-05526:鮃:鲆:無異體
序72 :B05985:鯰:鲇:鯰:一對未知:G2-05527:鮎:鲇:無異體
序74 :A04715:鱸:鲈:鱸:一簡對一:G2-05528:鱸:鲈:無異體
序76 ::::::G3-07557:鮋:鲉:無異體
序77 :B05953:鮓:鲊:鮓:一對未知:G3-07558:鮓:鲊:無異體
序79 :B05954:鮒:鲋:鮒:一對未知:G2-05530:鮒:鲋:無異體
序81 ::::::G3-07559:鮊:鲌:無異體
序82 :A04694:鮑:鲍:鮑:一簡對一:G1-02977:鮑:鲍:無異體
序84 :B06028:鱟:鲎:鱟:一對未知:G2-05591:鱟:鲎:無異體
序86 ::::::G3-07563:鮍:鲏:無異體
序87 :B05955:鮐:鲐:鮐:一對未知:G2-05531:鮐:鲐:無異體
序89 ::::::G3-07560:鮣:䲟:無異體
序90 ::::::G3-07561:鮈:𬶋:無異體
序91 ::::::G3-07562:鮀:𬶍:無異體
序92 :B05957:鮭:鲑:鮭:一對未知:G2-05768:鮭:鲑:無異體
序94 :B05956:鮚:鲒:鮚:一對未知:G3-07699:鮚:鲒:無異體
序96 :A04697:鮪:鲔:鮪:一簡對一:G2-05769:鮪:鲔:無異體
序98 :B05959:鮞:鲕:鮞:一對未知:G3-07700:鮞:鲕:無異體
序100 :B05961:鮦:鲖:鮦:一對未知:G3-07702:鮦:鲖:無異體
序102 ::::::G3-07703:鰂:鲗:無異體
序103 ::::::G3-07704:鮜:鲘:無異體
序104 :B06027:鱠:鲙:鱠:一對未知:G3-07705:鱠:鲙:無異體
序106 ::::::G2-05770:鱭:鲚:無異體
序107 :A04696:鮫:鲛:鮫:一簡對一:G2-05771:鮫:鲛:無異體
序109 :A04695:鮮:鲜:鮮:一簡對一:G1-03135:鮮:鲜:尠尟鱻
序111 ::::::G3-07719:鮺:鲝:無異體
序112 :B05987:鯗:鲞:鯗:一對未知:G2-05791:鮝:鲞:無異體
序114 :B06016:鱘:鲟:鱘:一對未知:G2-05772:鱘:鲟:無異體
序116 ::::::G3-07708:鮟:𩽾:無異體
序117 ::::::G3-07701:鰤:𫚕:無異體
序118 ::::::G3-07667:鮆:𫚖:無異體
序119 ::::::G3-07707:鮠:𬶏:無異體
序120 ::::::G3-07706:鮡:𬶐:無異體
序121 :B05970:鯁:鲠:鯁:一對未知:G2-05968:鯁:鲠:骾
序123 :B06034:鱺:鲡:鱺:一對未知:G2-05969:鱺:鲡:無異體
序125 :A04708:鰱:鲢:鰱:一簡對一:G2-05970:鰱:鲢:無異體
序127 :B06008:鰹:鲣:鰹:一對未知:G2-05971:鰹:鲣:無異體
序129 :A04699:鯉:鲤:鯉:一簡對一:G1-03276:鯉:鲤:無異體
序131 :B06001:鰣:鲥:鰣:一對未知:G2-05972:鰣:鲥:無異體
序133 :B06012:鰷:鲦:鰷:一對未知:G3-07800:鰷:鲦:無異體
序135 :B05975:鯀:鲧:鯀:一對未知:G2-05973:鯀:鲧:無異體
序137 :A04698:鯊:鲨:鯊:一簡對一:G1-03294:鯊:鲨:無異體
序139 :B05966:鯇:鲩:鯇:一對未知:G2-05974:鯇:鲩:無異體
序141 ::::::G3-07801:鮶:鲪:無異體
序142 :A04700:鯽:鲫:鯽:一簡對一:G1-03277:鯽:鲫:無異體
序144 ::::::G3-07802:鯒:鲬:無異體
序145 ::::::G3-07799:鮸:𩾃:無異體
序146 :B05976:鯖:鲭:鯖:一對未知:G3-07885:鯖:鲭:無異體
序148 :B05977:鯪:鲮:鯪:一對未知:G2-06139:鯪:鲮:無異體
序150 ::::::G3-07886:鯕:鲯:無異體
序151 :B05978:鯫:鲰:鯫:一對未知:G3-07887:鯫:鲰:無異體
序153 ::::::G2-06140:鯡:鲱:無異體
序154 :B05981:鯤:鲲:鯤:一對未知:G2-06141:鯤:鲲:無異體
序156 :A04702:鯧:鲳:鯧:一簡對一:G2-06142:鯧:鲳:無異體
序158 ::::::G2-06143:鯝:鲴:無異體
序159 :B05984:鯢:鲵:鯢:一對未知:G2-06144:鯢:鲵:無異體
序161 :B05982:鯛:鲷:鯛:一對未知:G2-06145:鯛:鲷:無異體
序163 :A04701:鯨:鲸:鯨:一簡對一:G1-03366:鯨:鲸:無異體
序165 ::::::G3-07889:鰺:鲹:無異體
序166 ::::::G3-07888:鯴:鲺:無異體
序167 :B05986:鯔:鲻:鯔:一對未知:G2-06146:鯔:鲻:無異體
序169 ::::::G2-06276:鱝:鲼:無異體
序170 :B05991:鰈:鲽:鰈:一對未知:G2-06277:鰈:鲽:無異體
序172 :B06029:鱨:鲿:鱨:一對未知:G3-07964:鱨:鲿:無異體
序174 :B05992:鯷:鳀:鯷:一對未知:G2-06278:鯷:鳀:無異體
序176 ::::::G3-07965:鰛:鳁:無異體
序177 ::::::G3-07966:鰃:鳂:無異體
序178 :A04703:鰓:鳃:鰓:一簡對一:G2-06279:鰓:鳃:無異體
序180 :A04714:鱷:鳄:鰐:一簡對一:G1-03424:鰐:鳄:鱷
序182 :A04704:鰍:鳅:鰍:一簡對一:G2-06280:鰍:鳅:鰌
序184 :B05994:鰒:鳆:鰒:一對未知
序185 ::::::G2-06281:鰉:鳇:無異體
序186 ::::::G3-07967:鰁:鳈:無異體
序187 ::::::G3-07968:鱂:鳉:無異體
序188 ::::::G2-06282:鯿:鳊:無異體
序189 ::::::G3-07960:鰆:䲠:無異體
序190 ::::::G3-07961:鯻:𬶟:無異體
序191 ::::::G3-07963:鰊:𬶠:無異體
序192 ::::::G3-07974:鱀:𬶨:無異體
序193 ::::::G3-07962:鰏:鲾:無異體
序194 :B06014:鰲:鳌:鰲:一對未知:G2-06311:鰲:鳌:鼇
序195 :A04784:鼇:鳌:佔格:一簡對一:G2-06311:鰲:鳌:鼇
序197 :A04705:鰭:鳍:鰭:一簡對一:G1-03446:鰭:鳍:無異體
序199 :B06002:鰨:鳎:鰨:一對未知:G2-06353:鰨:鳎:無異體
序201 :A04706:鰥:鳏:鰥:一簡對一:G2-06354:鰥:鳏:無異體
序203 :B06003:鰩:鳐:鰩:一對未知:G2-06355:鰩:鳐:無異體
序205 ::::::G3-08015:鰟:鳑:無異體
序206 :B05999:鰜:鳒:鰜:一對未知:G3-08016:鰜:鳒:無異體
序208 ::::::G3-08014:鰧:䲢:無異體
序209 :B06009:鰳:鳓:鰳:一對未知:G2-06403:鰳:鳓:無異體
序211 :A04709:鰾:鳔:鰾:一簡對一:G2-06404:鰾:鳔:無異體
序213 :B06005:鱈:鳕:鱈:一對未知:G2-06405:鱈:鳕:無異體
序215 :A04707:鱉:鳖:鱉:一簡對一:G1-03470:鱉:鳖:鼈
序217 :A04710:鰻:鳗:鰻:一簡對一:G2-06406:鰻:鳗:無異體
序219 ::::::G3-08038:鰵:鳘:無異體
序220 ::::::G2-06407:鱅:鳙:無異體
序221 ::::::G3-08044:䲁:鳚:無異體
序222 :B06011:鰼:鳛:鰼:一對未知:G3-08045:鰼:鳛:無異體
序224 ::::::G3-08043:鱇:𩾌:無異體
序225 ::::::G3-08042:鰶:𬶭:無異體
序226 :A04713:鱖:鳜:鱖:一簡對一:G2-06442:鱖:鳜:無異體
序228 :A04711:鱔:鳝:鱔:一簡對一:G2-06443:鱔:鳝:鱓
序230 :A04712:鱗:鳞:鱗:一簡對一:G1-03483:鱗:鳞:無異體
序232 :B06015:鱒:鳟:鱒:一對未知:G2-06444:鱒:鳟:無異體
序234 ::::::G3-08062:鱚:𬶮:無異體
序235 ::::::G3-08082:鱯:鳠:無異體
序236 ::::::G3-08083:鱤:鳡:無異體
序237 :B06023:鱧:鳢:鱧:一對未知:G2-06454:鱧:鳢:無異體
序239 :B06022:鱣:鳣:鱣:一對未知:G3-08084:鱣:鳣:無異體
序241 ::::::G3-08096:䲘:鳤:無異體
序242 ::::::G3-08100:鱲:𫚭:無異體
